ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742126::Name,1075849176::Physical Name,1075849763::Parent Entity  [read only],1075849764::Child Entity  [read only]
1075839016::533,R/1 (Employee to uvw_HumanResourcesEmployee),Relationship,FK_Employee_uvw_HumanResourcesEmployee,FK_Employee_uvw_HumanResourcesEmployee,Employee,uvw_HumanResourcesEmployee
1075839016::549,R/2 (Category to uvw_ProductionCategory),Relationship,FK_Category_uvw_ProductionCategory,FK_Category_uvw_ProductionCategory,Category,uvw_ProductionCategory
1075839016::554,R/3 (Supplier to uvw_ProductionProduct),Relationship,FK_Supplier_uvw_ProductionProduct,FK_Supplier_uvw_ProductionProduct,Supplier,uvw_ProductionProduct
1075839016::556,R/4 (Category to uvw_ProductionProduct),Relationship,FK_Category_uvw_ProductionProduct,FK_Category_uvw_ProductionProduct,Category,uvw_ProductionProduct
1075839016::558,R/5 (Product to uvw_ProductionProduct),Relationship,FK_Product_uvw_ProductionProduct,FK_Product_uvw_ProductionProduct,Product,uvw_ProductionProduct
1075839016::573,R/6 (Supplier to uvw_ProductionSupplier),Relationship,FK_Supplier_uvw_ProductionSupplier,FK_Supplier_uvw_ProductionSupplier,Supplier,uvw_ProductionSupplier
1075839016::586,R/7 (Customer to uvw_SalesCustomer),Relationship,FK_Customer_uvw_SalesCustomer,FK_Customer_uvw_SalesCustomer,Customer,uvw_SalesCustomer
1075839016::599,R/8 (Shipper to uvw_SalesShipper),Relationship,FK_Shipper_uvw_SalesShipper,FK_Shipper_uvw_SalesShipper,Shipper,uvw_SalesShipper
1075839016::604,R/9 (Order to uvw_Order),Relationship,FK_Order_uvw_Order,FK_Order_uvw_Order,Order,uvw_Order
1075839016::620,R/10 (OrderDetail to uvw_OrderDetail),Relationship,FK_OrderDetail_uvw_OrderDetail,FK_OrderDetail_uvw_OrderDetail,OrderDetail,uvw_OrderDetail
1075839016::640,R/11 (uvw_FindColumnDefinitionPlusDefaultAndCheckConstraint to uw_FindAllDatabaseColumnsOnTheServer),Relationship,FK_uvw_FindColumnDefinitionPlusDefaultAndCheckConstraint_uw_FindAllDatabaseColumnsOnTheServer,FK_uvw_FindColumnDefinitionPlusDefaultAndCheckConstraint_uw_FindAllDatabaseColumnsOnTheServer,uvw_FindColumnDefinitionPlusDefaultAndCheckConstraint,uw_FindAllDatabaseColumnsOnTheServer
1075839016::666,FK_Employees_Employees (Employee to Employee),Relationship,FK_Employee_Employee,FK_Employee_Employee,Employee,Employee
1075839016::670,FK_Order_Customer1 (Customer to Order),Relationship,FK_Customer_Order,FK_Customer_Order,Customer,Order
1075839016::674,FK_Order_Employee (Employee to Order),Relationship,FK_Employee_Order,FK_Employee_Order,Employee,Order
1075839016::678,FK_Order_Shipper (Shipper to Order),Relationship,FK_Shipper_Order,FK_Shipper_Order,Shipper,Order
1075839016::682,FK_OrderDetail_Order (Order to OrderDetail),Relationship,FK_Order_OrderDetail,FK_Order_OrderDetail,Order,OrderDetail
1075839016::686,FK_OrderDetail_Product (Product to OrderDetail),Relationship,FK_Product_OrderDetail,FK_Product_OrderDetail,Product,OrderDetail
1075839016::690,FK_Product_Category (Category to Product),Relationship,FK_Category_Product,FK_Category_Product,Category,Product
1075839016::694,FK_product_supplier (Supplier to Product),Relationship,FK_Supplier_Product,FK_Supplier_Product,Supplier,Product
1075839016::803,R/20 (DbSecurity.UserAuthorization to Nums),Relationship,FK_DbSecurity.UserAuthorization_Nums,FK_DbSecurity.UserAuthorization_Nums,DbSecurity.UserAuthorization,Nums
1075839016::828,R/23 (DbSecurity.UserAuthorization to AuditTriggeredEmployeeHistory),Relationship,FK_DbSecurity.UserAuthorization_AuditTriggeredEmployeeHistory,FK_DbSecurity.UserAuthorization_AuditTriggeredEmployeeHistory,DbSecurity.UserAuthorization,AuditTriggeredEmployeeHistory
1075839016::836,R/24 (VersionedEmployeeHistory to AuditTriggeredEmployeeHistory),Relationship,FK_VersionedEmployeeHistory_AuditTriggeredEmployeeHistory,FK_VersionedEmployeeHistory_AuditTriggeredEmployeeHistory,VersionedEmployeeHistory,AuditTriggeredEmployeeHistory
1075839016::840,R/25 (VersionedEmployeeHistory to Employee),Relationship,FK_VersionedEmployeeHistory_Employee,FK_VersionedEmployeeHistory_Employee,VersionedEmployeeHistory,Employee
1075839016::844,R/26 (Employee to Employee),Relationship,FK_Employee_Employee,FK_Employee_Employee,Employee,Employee
